Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,9.3,17.3,84,141
1/5/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,16.3,71,143
1/7/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,18.5,121,201
1/12/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,15.8,51,112
16/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,13,87,117
19/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.8,15,89,209
21/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.3,15.3,63,146
23/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,15,88,278
27/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7,14.3,82,413
29/1/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,12.8,82,561
2/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,17.8,209,543
2/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,3.8,8.1,57,107
2/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.5,15.5,76,140
2/10/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,4.5,13.3,60,147
2/12/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6,13,84,325
16/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5,12,118,514
18/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,11.6,87,325
20/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.3,21.3,132,315
23/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,2.5,19.8,178,431
26/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,24.8,118,684
3/2/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,12,23.5,83,212
3/4/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.5,21,83,309
3/6/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,6.8,13.8,73,331
3/9/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,5.3,12.5,36,129
3/12/2009,Assam,Bongaigaon,Barpara Office Bldg,Residential and others,7.5,13.3,48,106
